p Sequence ref name simbad ulli ulc uln ulo ulna ulmg ulal ulsi ulsc ulti ulv ulcr ulmn ulco ulni ulzn ulga ulge ulsr uly ulzr ulmo ulru ulrh ulpd ulba ulla ulce ulpr ulnd ulsm uleu ulgd ultb uldy ulho uler ultm ullu ulhf ulos ulir ulpt ulag ulpb ulth ulu
2 117 NOR01 CS22172-002 2MASS J03142084-1035112 * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * 1 * * * * * * * * * * * * * * *
2 118 RYA96 CS22172-002 2MASS J03142084-1035112 * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 119 LAI07 CS22185-007 2MASS J03173604-1517227 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 120 BAR05 HE0315+0000 2MASS J03173900+0011045 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 121 BAR05 HE0317-4640 2MASS J03185625-4629276 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 122 BAR05 HE0316+0214 2MASS J03190922+0224543 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 123 BAR05 HE0323-4529 2MASS J03253020-4519315 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 124 AOK02a CS29526-110 2MASS J03274362-2300299 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 125 AOK08 CS29526-110 2MASS J03274362-2300299 1 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 126 BAR05 HE0328-1047 2MASS J03304535-1037098 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 127 BAR05 HE0330-4004 2MASS J03320737-3954501 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 128 BAR05 HE0330-4144 2MASS J03321621-4134485 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 129 BAR05 HE0331-4939 2MASS J03324183-4929094 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 130 BAR05 HE0333-4001 2MASS J03352577-3951468 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 131 BAR05 HE0336-3829 2MASS J03383179-3820140 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 132 COH06 HE0336+0113 2MASS J03385289+0123077 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1 * *
1 133 BAR05 HE0337-5127 2MASS J03391312-5118163 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 134 BAR05 HE0338-3945 2MASS J03395500-3935429 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 135 JON06 HE0338-3945 2MASS J03395500-3935429 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1 * 1 * * 1 * * * * 1 * 1 1
1 136 BAR05 HE0339-4027 2MASS J03404965-4017354 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
